Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XMR,2018-09-30,117.2382077526,115.5482297157,117.6100425338,114.1883391795
XMR,2018-10-01,115.54588697,117.2324535162,117.4402360251,112.678256344
XMR,2018-10-02,120.0698152984,115.9101492136,120.4050712347,115.5308413143
XMR,2018-10-03,113.9120229234,120.2675399436,120.2751087998,112.044374269
XMR,2018-10-04,114.8010274652,113.9119699931,116.582117841,113.5033610073
XMR,2018-10-05,114.5622420946,114.800637453,114.9217508356,114.2270465362
XMR,2018-10-06,114.9542031556,114.7489544998,115.0698063807,114.1225298131
XMR,2018-10-07,114.3068658664,114.9539589663,115.1472711867,113.7257307145
XMR,2018-10-08,114.6430708902,114.3502280579,116.0425481239,113.6052252284
XMR,2018-10-09,114.2403892163,114.6430708913,115.4333915269,113.4697822314
XMR,2018-10-10,113.1224722232,114.2401224366,114.2892869352,112.0717761324
XMR,2018-10-11,103.3963484465,113.54796149,114.3092505946,102.154965874
XMR,2018-10-12,102.6906159713,103.3963319832,106.9309201139,97.8561060327
XMR,2018-10-13,104.2855938587,102.6904866646,105.156668206,102.4329522018
XMR,2018-10-14,103.282337374,104.2919426543,105.857072985,102.9472201333
XMR,2018-10-15,107.7786480072,101.7056049005,111.4265435585,99.8327307485
XMR,2018-10-16,107.0045221335,107.7787279512,108.3709256211,105.1577333728
XMR,2018-10-17,105.455509226,107.004466343,108.398461502,104.6949892447
XMR,2018-10-18,102.6101234411,105.6853071638,106.7943921803,102.2682946023
XMR,2018-10-19,105.1449032812,102.6101234411,105.1456211795,102.5229511721
XMR,2018-10-20,104.7241180262,105.2182130422,105.2222668022,103.4227888279
XMR,2018-10-21,105.4147261801,104.198082988,105.7201423194,104.0246382133
XMR,2018-10-22,105.5714099506,105.4146937283,105.6259656291,104.2251773495
XMR,2018-10-23,107.4590321446,105.5711383616,110.0324350568,105.3415497968
XMR,2018-10-24,105.6472378169,107.1650539712,108.0286499404,105.3203889791
XMR,2018-10-25,105.068632648,105.6472364558,105.7820887107,103.8117096078
XMR,2018-10-26,103.8817603242,105.0686268192,105.4968045225,102.4621567731
XMR,2018-10-27,102.686582649,103.8819825472,103.8938266581,101.8914766647
XMR,2018-10-28,100.8515289511,102.8132837386,103.1917881301,100.4544983394
XMR,2018-10-29,99.3919563326,101.6141614305,103.1875100191,98.0693228218
XMR,2018-10-30,102.4493241773,99.3917656051,102.635506029,99.3863543497
XMR,2018-10-31,103.0317301398,102.450255467,104.9251747405,101.9553589762
XMR,2018-11-01,102.2415486064,103.0279103882,104.3813891082,101.3542556048
XMR,2018-11-02,103.898801048,102.2417135286,105.8842303495,102.1535379369
XMR,2018-11-03,105.1029528389,104.5767263903,105.6288848337,102.7929636136
XMR,2018-11-04,110.8998525411,105.102949592,111.1657667447,103.8751285283
