Date,attention,attention_scaled
6/12/2020,5,0.05
6/13/2020,1,0.01
6/14/2020,2,0.02
6/15/2020,3,0.03
6/16/2020,5,0.05
6/17/2020,4,0.04
6/18/2020,3,0.03
6/19/2020,1,0.01
6/20/2020,2,0.02
6/21/2020,2,0.02
6/22/2020,5,0.05
6/23/2020,3,0.03
6/24/2020,2,0.02
6/25/2020,1,0.01
6/26/2020,4,0.04
6/27/2020,3,0.03
6/28/2020,3,0.03
6/29/2020,4,0.04
6/30/2020,3,0.03
7/1/2020,5,0.05
7/2/2020,3,0.03
7/3/2020,2,0.02
7/4/2020,2,0.02
7/5/2020,3,0.03
7/6/2020,4,0.04
7/7/2020,5,0.05
7/8/2020,4,0.04
7/9/2020,6,0.06
7/10/2020,5,0.05
7/11/2020,7,0.07
7/12/2020,5,0.05
7/13/2020,5,0.05
7/14/2020,4,0.04
7/15/2020,5,0.05
7/16/2020,5,0.05
7/17/2020,8,0.08
7/18/2020,7,0.07
7/19/2020,4,0.04
7/20/2020,2,0.02
7/21/2020,4,0.04
7/22/2020,5,0.05
7/23/2020,6,0.06
7/24/2020,3,0.03
7/25/2020,3,0.03
7/26/2020,4,0.04
7/27/2020,7,0.07
7/28/2020,7,0.07
7/29/2020,5,0.05
7/30/2020,4,0.04
7/31/2020,5,0.05
8/1/2020,4,0.04
8/2/2020,4,0.04
8/3/2020,6,0.06
8/4/2020,4,0.04
8/5/2020,5,0.05
8/6/2020,7,0.07
8/7/2020,4,0.04
8/8/2020,6,0.06
8/9/2020,5,0.05
8/10/2020,6,0.06
8/11/2020,5,0.05
8/12/2020,3,0.03
8/13/2020,5,0.05
8/14/2020,4,0.04
8/15/2020,6,0.06
8/16/2020,6,0.06
8/17/2020,6,0.06
8/18/2020,5,0.05
8/19/2020,5,0.05
8/20/2020,6,0.06
8/21/2020,4,0.04
8/22/2020,3,0.03
8/23/2020,3,0.03
8/24/2020,3,0.03
8/25/2020,4,0.04
8/26/2020,4,0.04
8/27/2020,3,0.03
8/28/2020,4,0.04
8/29/2020,1,0.01
8/30/2020,3,0.03
8/31/2020,5,0.05
9/1/2020,6,0.06
9/2/2020,4,0.04
9/3/2020,3,0.03
9/4/2020,4,0.04
9/5/2020,2,0.02
9/6/2020,4,0.04
9/7/2020,2,0.02
9/8/2020,4,0.04
9/9/2020,2,0.02
9/10/2020,4,0.04
9/11/2020,4,0.04
9/12/2020,2,0.02
9/13/2020,4,0.04
9/14/2020,3,0.03
9/15/2020,4,0.04
9/16/2020,5,0.05
9/17/2020,3,0.03
9/18/2020,4,0.04
9/19/2020,3,0.03
9/20/2020,1,0.01
9/21/2020,2,0.02
9/22/2020,4,0.04
9/23/2020,4,0.04
9/24/2020,2,0.02
9/25/2020,5,0.05
9/26/2020,3,0.03
9/27/2020,3,0.03
9/28/2020,2,0.02
9/29/2020,2,0.02
9/30/2020,4,0.04
10/1/2020,4,0.04
10/2/2020,1,0.01
10/3/2020,1,0.01
10/4/2020,4,0.04
10/5/2020,3,0.03
10/6/2020,3,0.03
10/7/2020,2,0.02
10/8/2020,3,0.03
10/9/2020,3,0.03
10/10/2020,2,0.02
10/11/2020,3,0.03
10/12/2020,2,0.02
10/13/2020,1,0.01
10/14/2020,1,0.01
10/15/2020,2,0.02
10/16/2020,4,0.04
10/17/2020,5,0.05
10/18/2020,3,0.03
10/19/2020,4,0.04
10/20/2020,3,0.03
10/21/2020,3,0.03
10/22/2020,3,0.03
10/23/2020,4,0.04
10/24/2020,2,0.02
10/25/2020,3,0.03
10/26/2020,5,0.05
10/27/2020,3,0.03
10/28/2020,6,0.06
10/29/2020,3,0.03
10/30/2020,4,0.04
10/31/2020,4,0.04
11/1/2020,1,0.01
11/2/2020,3,0.03
11/3/2020,3,0.03
11/4/2020,3,0.03
11/5/2020,3,0.03
11/6/2020,3,0.03
11/7/2020,4,0.04
11/8/2020,4,0.04
11/9/2020,3,0.03
11/10/2020,2,0.02
11/11/2020,3,0.03
11/12/2020,3,0.03
11/13/2020,1,0.01
11/14/2020,3,0.03
11/15/2020,2,0.02
11/16/2020,4,0.04
11/17/2020,4,0.04
11/18/2020,6,0.06
11/19/2020,4,0.04
11/20/2020,4,0.04
11/21/2020,6,0.06
11/22/2020,4,0.04
11/23/2020,13,0.13
11/24/2020,37,0.37
11/25/2020,28,0.28
11/26/2020,10,0.1
11/27/2020,16,0.16
11/28/2020,20,0.2
11/29/2020,12,0.12
11/30/2020,13,0.13
12/1/2020,8,0.08
12/2/2020,8,0.08
12/3/2020,8,0.08
12/4/2020,9,0.09
12/5/2020,6,0.06
12/6/2020,5,0.05
12/7/2020,5,0.05
12/8/2020,8,0.08
12/9/2020,5,0.05
12/10/2020,10,0.1
12/11/2020,6,0.06
12/12/2020,8,0.08
12/13/2020,5,0.05
12/14/2020,9,0.09
12/15/2020,9,0.09
12/16/2020,8,0.08
12/17/2020,10,0.1
12/18/2020,11,0.11
12/19/2020,8,0.08
12/20/2020,6,0.06
12/21/2020,5,0.05
12/22/2020,5,0.05
12/23/2020,16,0.16
12/24/2020,12,0.12
12/25/2020,7,0.07
12/26/2020,13,0.13
12/27/2020,10,0.1
12/28/2020,9,0.09
12/29/2020,11,0.11
12/30/2020,9,0.09
12/31/2020,8,0.08
1/1/2021,10,0.1
1/2/2021,9,0.09
1/3/2021,13,0.13
1/4/2021,20,0.2
1/5/2021,35,0.35
1/6/2021,100,1
1/7/2021,75,0.75
