Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2019-02-17,0.0783704752,0.0773180162,0.0791071006,0.0766336027
XLM,2019-02-18,0.0817993161,0.078364479,0.0835132981,0.0783210165
XLM,2019-02-19,0.0908259889,0.0827863096,0.0924116876,0.0819900931
XLM,2019-02-20,0.0899837835,0.0908315887,0.0916722633,0.085187297
XLM,2019-02-21,0.0871201505,0.0900108883,0.0933863828,0.086607812
XLM,2019-02-22,0.0898772092,0.0876216312,0.0908482147,0.0871901231
XLM,2019-02-23,0.0933645167,0.0898763979,0.0955416014,0.0881567609
XLM,2019-02-24,0.082956099,0.0933552256,0.096670227,0.080252904
XLM,2019-02-25,0.0857051058,0.0829190413,0.0882575943,0.0815587096
XLM,2019-02-26,0.0841732677,0.0857050845,0.0864520298,0.0828050429
XLM,2019-02-27,0.0825763185,0.0840401762,0.0853970883,0.0802802584
XLM,2019-02-28,0.0840010704,0.0825800908,0.0850470844,0.0820594608
XLM,2019-03-01,0.085277814,0.0839986835,0.085678143,0.0834431508
XLM,2019-03-02,0.0828814188,0.0852781652,0.0854930454,0.0824215331
XLM,2019-03-03,0.0867232377,0.0832913203,0.0892444431,0.0823998685
XLM,2019-03-04,0.0813711926,0.0867231699,0.0881690488,0.0796221238
XLM,2019-03-05,0.0848199513,0.0816806391,0.0860238783,0.0804459885
XLM,2019-03-06,0.0845258674,0.0848119898,0.0857658271,0.0833196036
XLM,2019-03-07,0.084830359,0.0845267325,0.0854750986,0.0834119694
XLM,2019-03-08,0.0853306854,0.084830359,0.0892948034,0.0845431621
XLM,2019-03-09,0.088816051,0.0856909991,0.0913828822,0.0853467341
XLM,2019-03-10,0.1022895798,0.0895261563,0.1035435837,0.0889293409
XLM,2019-03-11,0.1011176007,0.0996739805,0.1089959049,0.0985554795
XLM,2019-03-12,0.1064982951,0.1011176006,0.1069357121,0.095766905
XLM,2019-03-13,0.1069512216,0.1064967669,0.1112066033,0.1001642167
XLM,2019-03-14,0.106325435,0.1069392617,0.1123048399,0.1048894502
XLM,2019-03-15,0.1054020791,0.1063249515,0.1063660354,0.1027592399
XLM,2019-03-16,0.1081556307,0.1054022173,0.1091088888,0.1053595766
XLM,2019-03-17,0.1080245203,0.1077822658,0.1084045912,0.1056318581
XLM,2019-03-18,0.1168919704,0.1080239709,0.1180528661,0.1053424935
XLM,2019-03-19,0.1115781618,0.1154487443,0.11791779,0.1106256688
XLM,2019-03-20,0.1086871833,0.1115896302,0.1119881723,0.1083085869
XLM,2019-03-21,0.1050163721,0.1084684182,0.1094215201,0.0999077749
XLM,2019-03-22,0.1082276183,0.1050149535,0.1094461483,0.1041610477
XLM,2019-03-23,0.1068127447,0.1078854363,0.1091676668,0.1054498764
XLM,2019-03-24,0.1040296765,0.1068127447,0.1068374333,0.1030893227
XLM,2019-03-25,0.10050784,0.1040296768,0.1045038169,0.0988458101
XLM,2019-03-26,0.1019838481,0.10050784,0.1035924476,0.0953429065
XLM,2019-03-27,0.1066529422,0.1021225001,0.1069678685,0.1017000548
XLM,2019-03-28,0.1059015477,0.1066529441,0.1076463326,0.1031506599
XLM,2019-03-29,0.1075680016,0.1059015552,0.1078826303,0.1053608867
XLM,2019-03-30,0.1063924487,0.1072910463,0.1075317814,0.1041905594
XLM,2019-03-31,0.1081549187,0.1063924487,0.1085787092,0.1059272901
XLM,2019-04-01,0.1121304599,0.1081549187,0.1145818009,0.107639065
XLM,2019-04-02,0.1211157903,0.1121298296,0.1214251145,0.11101663
XLM,2019-04-03,0.1243649737,0.1211165826,0.1349105631,0.1211165826
XLM,2019-04-04,0.1169402622,0.1222854725,0.1260272973,0.1153408766
XLM,2019-04-05,0.1279708371,0.1169419122,0.1303500844,0.1169419122
XLM,2019-04-06,0.1245734493,0.1280221494,0.1290586519,0.1227779645
XLM,2019-04-07,0.1319355095,0.1245734493,0.1340480304,0.1235784922
XLM,2019-04-08,0.1317421847,0.1319355435,0.1365466905,0.1247504303
XLM,2019-04-09,0.1251209464,0.1317356822,0.1317373799,0.1242572859
XLM,2019-04-10,0.1255570732,0.125120938,0.1295539681,0.1245400487
XLM,2019-04-11,0.1157488897,0.126210487,0.1265325976,0.1108668339
XLM,2019-04-12,0.1142767031,0.1155358038,0.1168663318,0.1101287844
XLM,2019-04-13,0.1155258721,0.1142767031,0.1172930158,0.1128242559
XLM,2019-04-14,0.1184905664,0.1157285148,0.1186608692,0.1138530375
XLM,2019-04-15,0.1126524183,0.1178043926,0.1193691013,0.1104562123
XLM,2019-04-16,0.1141197623,0.1125771215,0.1157624818,0.1109263481
XLM,2019-04-17,0.1164677735,0.1141197623,0.1173388875,0.113848276
XLM,2019-04-18,0.1178271823,0.1169287607,0.1199911865,0.116330902
XLM,2019-04-19,0.1177221226,0.1179001983,0.1184780413,0.1146357804
XLM,2019-04-20,0.1164865598,0.1177221226,0.1201578225,0.1154485373
XLM,2019-04-21,0.1134344833,0.1164865588,0.1174608705,0.1106438523
XLM,2019-04-22,0.1155072681,0.1134872256,0.1169793142,0.1114303716
XLM,2019-04-23,0.1125106087,0.1155072681,0.116164215,0.1119194614
XLM,2019-04-24,0.1053074672,0.1125087056,0.1126550385,0.1027671943
XLM,2019-04-25,0.1005779225,0.1049744908,0.1080702884,0.0977986792
XLM,2019-04-26,0.0997473774,0.0996894186,0.1018330659,0.0973906123
XLM,2019-04-27,0.1003723694,0.0997473399,0.1014932635,0.0988622142
XLM,2019-04-28,0.0984119277,0.1003723636,0.1013751407,0.0982523841
XLM,2019-04-29,0.0955377315,0.0984593458,0.0997866785,0.0955098495
XLM,2019-04-30,0.1013552457,0.0961494636,0.1014592596,0.0959306243
XLM,2019-05-01,0.1014909287,0.1013552457,0.1037668052,0.1007937949
XLM,2019-05-02,0.1003061665,0.1012251401,0.1024974186,0.10003706
XLM,2019-05-03,0.1027127951,0.1003061665,0.1042494792,0.0990582482
XLM,2019-05-04,0.0999706178,0.1032528776,0.1049718512,0.0976670349
XLM,2019-05-05,0.0981948175,0.0998006227,0.1008619456,0.0976173386
XLM,2019-05-06,0.0989551202,0.0981948175,0.0998094234,0.095094875
XLM,2019-05-07,0.0964247362,0.0982004241,0.1003351827,0.0956630101
XLM,2019-05-08,0.0940049089,0.0948188526,0.0948270868,0.0929535485
